model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-relu-0.5-(32,)",0.35074071268364926,0.015110325839051822,0.010344886779785156,0.0019289773315880369,0.004322624206542969,0.00029018358471515304,1058.0,"(32,)",relu,0.5,0.0
"MLP-relu-0.5-(16, 16)",0.4016975046097956,0.023474020285836616,0.0065610408782958984,0.0009915127182506416,0.004042720794677735,0.0004698559550133893,802.0,"(16, 16)",relu,0.5,0.0
"MLP-relu-0.5-(10, 5, 5)",0.808443180152621,0.053014983294921714,0.0058929443359375,0.0011953406667067803,0.004223680496215821,0.0003025977422780183,407.0,"(10, 5, 5)",relu,0.5,0.0
"MLP-relu-0.5-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.006293392181396485,0.0007797514471866484,0.004042720794677735,0.00022822487444188852,722.0,"(16, 8, 8)",relu,0.5,0.0
"MLP-relu-0.5-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.007603645324707031,0.0008353160469572674,0.003935384750366211,0.00040420441030678087,5186.0,"(64, 32, 32)",relu,0.5,0.0
"MLP-sigmoid-0.0001-(5,)",0.9189227789508294,0.05417921593581042,6.607952547073364,0.42243912273040407,0.003608512878417969,0.0004590538687944891,167.0,"(5,)",sigmoid,0.0001,233.2
"MLP-sigmoid-0.0001-(32,)",0.9734426592882475,0.016807256668099044,5.523956203460694,0.7856549811274246,0.003966760635375976,0.0005223883366443786,1058.0,"(32,)",sigmoid,0.0001,186.2
"MLP-sigmoid-0.0001-(16, 16)",0.5504957175774965,0.19723649284242575,8.65268406867981,6.631410726346419,0.003488588333129883,0.0006131296598626074,802.0,"(16, 16)",sigmoid,0.0001,243.8
"MLP-sigmoid-0.0001-(10, 5, 5)",0.3917131942403761,0.002938583602703515,0.5977835178375244,0.05793553408339483,0.0034899234771728514,0.0006830066948538316,407.0,"(10, 5, 5)",sigmoid,0.0001,11.0
"MLP-sigmoid-0.0001-(16, 8, 8)",0.3917131942403761,0.002938583602703515,2.5668632984161377,0.22868867831626097,0.003375387191772461,0.0004236100814304394,722.0,"(16, 8, 8)",sigmoid,0.0001,47.0
"MLP-sigmoid-0.0001-(64, 32, 32)",0.3917131942403761,0.002938583602703515,1.8818328857421875,0.2446050383954959,0.003606891632080078,0.0004985989003347775,5186.0,"(64, 32, 32)",sigmoid,0.0001,31.8
"MLP-sigmoid-0.001-(5,)",0.9740176354643545,0.016009080023104097,2.916239595413208,0.43835624954640584,0.0035829544067382812,0.0007342421956944469,167.0,"(5,)",sigmoid,0.001,101.2
"MLP-sigmoid-0.001-(32,)",0.9821232148438032,0.01707151285332411,2.033343553543091,0.5145172365408034,0.0035130977630615234,0.0003457201922277165,1058.0,"(32,)",sigmoid,0.001,65.2
"MLP-sigmoid-0.001-(16, 16)",0.9693492993375022,0.017663993309558364,6.368088245391846,1.2099721536515566,0.0031239986419677734,0.0002458392688614872,802.0,"(16, 16)",sigmoid,0.001,158.2
"MLP-sigmoid-0.001-(10, 5, 5)",0.3917131942403761,0.002938583602703515,0.9703829288482666,0.12395254184945516,0.003643512725830078,0.0007163320231979813,407.0,"(10, 5, 5)",sigmoid,0.001,17.0
"MLP-sigmoid-0.001-(16, 8, 8)",0.3917131942403761,0.002938583602703515,1.366325855255127,0.20967360776454827,0.003436279296875,0.0006132322630090715,722.0,"(16, 8, 8)",sigmoid,0.001,25.8
